Energy,Neutron
1.1294E-08,156562.3055925070
1.4219E-08,174943.6711511360
1.7901E-08,189800.0972588070
2.2536E-08,198382.2351777170
2.8371E-08,197833.4487329620
3.5717E-08,185966.3504041260
4.4965E-08,162334.7022294790
5.6608E-08,129212.5725410610
7.1265E-08,91786.8388612291
8.9717E-08,56858.7543656085
1.1295E-07,30190.8692511572
1.4219E-07,13966.8145821889
1.7901E-07,6337.5904903162
2.2536E-07,3579.5247815023
2.8371E-07,2677.1051435149
3.5717E-07,2236.6689331618
4.4965E-07,1887.3901027644
5.6608E-07,1578.5647392670
7.1264E-07,1308.4692121074
8.9717E-07,1076.4896982134
1.1294E-06,880.3354907446
1.4219E-06,716.3514137733
1.7901E-06,580.6671311373
2.2536E-06,469.2438481001
2.8371E-06,378.2819596370
3.5717E-06,304.3677079707
4.4965E-06,244.5274037374
5.6608E-06,196.2174357579
7.1264E-06,157.3083005366
8.9716E-06,126.0194684548
1.1294E-05,100.8998822492
1.4219E-05,80.7421500633
1.7901E-05,64.5896370692
2.2536E-05,51.6544249543
2.8371E-05,41.3004512988
3.5717E-05,33.0158941967
4.4965E-05,26.3897150162
5.6607E-05,21.0916202429
7.1264E-05,16.8560546242
8.9717E-05,13.4706154186
1.1295E-04,10.7650655152
1.4219E-04,8.6038589547
1.7901E-04,6.8767049807
2.2536E-04,5.4970323649
2.8371E-04,4.3949001122
3.5717E-04,3.5144663568
4.4965E-04,2.8111641612
5.6607E-04,2.2493628216
7.1265E-04,1.8005101897
8.9716E-04,1.4419545236
1.1295E-03,1.1554022450
1.4219E-03,0.9264882640
1.7901E-03,0.7434759367
2.2536E-03,0.5971808304
2.8371E-03,0.4801944153
3.5717E-03,0.3866096039
4.4965E-03,0.3117176158
5.6607E-03,0.2517577440
7.1265E-03,0.2037189752
8.9717E-03,0.1652129364
1.1294E-02,0.1343285445
1.4219E-02,0.1095173271
1.7901E-02,0.0895774289
2.2536E-02,0.0735321933
2.8371E-02,0.0606020659
3.5717E-02,0.0501652650
4.4965E-02,0.0417258138
5.6607E-02,0.0348870950
7.1264E-02,0.0293311399
8.9717E-02,0.0248039404
1.1294E-01,0.0211029560
1.4219E-01,0.0180615554
1.7901E-01,0.0155497863
2.2536E-01,0.0134603465
2.8371E-01,0.0117059102
3.5717E-01,0.0102150876
4.4965E-01,0.0089293062
5.6608E-01,0.0078003755
7.1264E-01,0.0067894244
8.9717E-01,0.0058657317
1.1294E+00,0.0050077922
1.4219E+00,0.0042021090
1.7901E+00,0.0034458696
2.2536E+00,0.0027449067
2.8371E+00,0.0021124980
3.5717E+00,0.0015655907
4.4965E+00,0.0011190730
5.6607E+00,0.0007794176
7.1265E+00,0.0005404047
8.9717E+00,0.0003837840
1.1295E+01,0.0002850020
1.4219E+01,0.0002215831
1.7901E+01,0.0001785528
2.2536E+01,0.0001487250
2.8371E+01,0.0001292058
3.5717E+01,0.0001180125
4.4965E+01,0.0001124209
5.6607E+01,0.0001089005
7.1265E+01,0.0001039969
8.9716E+01,0.0000954203
1.1294E+02,0.0000825654
1.4219E+02,0.0000662530
1.7901E+02,0.0000484032
2.2536E+02,0.0000317465
2.8371E+02,0.0000187093
3.5717E+02,0.0000100798
4.4965E+02,0.0000051085
5.6608E+02,0.0000025250
7.1265E+02,0.0000012649
8.9716E+02,0.0000006613
1.1294E+03,0.0000003641
1.4219E+03,0.0000002090
1.7901E+03,0.0000001230
2.2536E+03,0.0000000732
2.8371E+03,0.0000000437
3.5717E+03,0.0000000261
4.4965E+03,0.0000000156
5.6608E+03,0.0000000093
7.1265E+03,0.0000000055
8.9717E+03,0.0000000033
1.1294E+04,0.0000000020
1.4219E+04,0.0000000012
1.7901E+04,0.0000000007
2.2536E+04,0.0000000004
2.8371E+04,0.0000000002
3.5717E+04,0.0000000001
4.4965E+04,0.0000000001
5.6608E+04,0.0000000001
7.1264E+04,0.0000000000
8.9716E+04,0.0000000000
1.1294E+05,0.0000000000
1.4219E+05,0.0000000000
1.7901E+05,0.0000000000
2.2536E+05,0.0000000000
2.8371E+05,0.0000000000
3.5717E+05,0.0000000000
4.4965E+05,0.0000000000
5.6608E+05,0.0000000000
7.1264E+05,0.0000000000
8.9716E+05,0.0000000000
