Incident energy [eV];Computed function [b]
1.000000E+06;7.822090E-03
1.500000E+06;3.856820E-02
2.000000E+06;1.066120E-01
2.300000E+06;1.544830E-01
2.500000E+06;1.878620E-01
2.750000E+06;2.256330E-01
3.000000E+06;2.586650E-01
3.250000E+06;2.833110E-01
3.500000E+06;2.864370E-01
3.750000E+06;2.960880E-01
4.000000E+06;3.041400E-01
5.000000E+06;3.200640E-01
6.000000E+06;3.343950E-01
7.000000E+06;3.407640E-01
8.000000E+06;3.550960E-01
9.000000E+06;3.630570E-01
1.000000E+07;3.694270E-01
1.100000E+07;3.757960E-01
1.200000E+07;3.789810E-01
1.300000E+07;3.821660E-01
1.400000E+07;3.853500E-01
1.500000E+07;3.869430E-01
1.600000E+07;3.885350E-01
1.700000E+07;3.885350E-01
1.800000E+07;3.885350E-01
1.900000E+07;3.885350E-01
2.000000E+07;2.698850E-02
2.200000E+07;2.238560E-02
2.400000E+07;1.947350E-02
2.600000E+07;1.728210E-02
2.800000E+07;1.556560E-02
3.000000E+07;1.430520E-02
3.200000E+07;1.334188E-02
3.400000E+07;1.242106E-02
3.500000E+07;1.197941E-02
3.600000E+07;1.171409E-02
3.800000E+07;1.120890E-02
4.000000E+07;1.072430E-02
4.200000E+07;1.046361E-02
4.400000E+07;1.020978E-02
4.500000E+07;1.008502E-02
4.600000E+07;9.810709E-03
4.800000E+07;9.269430E-03
5.000000E+07;8.737069E-03
5.200000E+07;8.518883E-03
5.400000E+07;8.304237E-03
5.500000E+07;8.198362E-03
5.600000E+07;7.916313E-03
5.800000E+07;7.359348E-03
6.000000E+07;6.811430E-03
6.200000E+07;6.678496E-03
6.400000E+07;6.548018E-03
6.500000E+07;6.483877E-03
6.600000E+07;6.286120E-03
6.800000E+07;5.895796E-03
7.000000E+07;5.511830E-03
7.200000E+07;5.420421E-03
7.400000E+07;5.331007E-03
7.500000E+07;5.287202E-03
7.600000E+07;5.183807E-03
7.800000E+07;4.979943E-03
8.000000E+07;4.779460E-03
8.200000E+07;4.588358E-03
8.400000E+07;4.400296E-03
8.500000E+07;4.307492E-03
8.600000E+07;4.233452E-03
8.800000E+07;4.087388E-03
9.000000E+07;3.943590E-03
9.200000E+07;3.830019E-03
9.400000E+07;3.718225E-03
9.500000E+07;3.663066E-03
9.600000E+07;3.627868E-03
9.800000E+07;3.558594E-03
1.000000E+08;3.490510E-03
1.020000E+08;3.450607E-03
1.040000E+08;3.411565E-03
1.060000E+08;3.373351E-03
1.080000E+08;3.335930E-03
1.100000E+08;3.299260E-03
1.120000E+08;3.202131E-03
1.140000E+08;3.106089E-03
1.160000E+08;3.011060E-03
1.180000E+08;2.917001E-03
1.200000E+08;2.823840E-03
1.220000E+08;2.763286E-03
1.240000E+08;2.703377E-03
1.260000E+08;2.644077E-03
1.280000E+08;2.585352E-03
1.300000E+08;2.527170E-03
1.320000E+08;2.498187E-03
1.340000E+08;2.469570E-03
1.360000E+08;2.441308E-03
1.380000E+08;2.413375E-03
1.400000E+08;2.385760E-03
1.420000E+08;2.387095E-03
1.440000E+08;2.388628E-03
1.460000E+08;2.390352E-03
1.480000E+08;2.392261E-03
1.500000E+08;2.394350E-03
1.520000E+08;2.374788E-03
1.540000E+08;2.355442E-03
1.560000E+08;2.336297E-03
1.580000E+08;2.317347E-03
1.600000E+08;2.298580E-03
1.620000E+08;2.256781E-03
1.640000E+08;2.215182E-03
1.660000E+08;2.173772E-03
1.680000E+08;2.132542E-03
1.700000E+08;2.091480E-03
1.720000E+08;2.055198E-03
1.740000E+08;2.019057E-03
1.760000E+08;1.983048E-03
1.780000E+08;1.947161E-03
1.800000E+08;1.911390E-03
1.820000E+08;1.901810E-03
1.840000E+08;1.892314E-03
1.860000E+08;1.882899E-03
1.880000E+08;1.873558E-03
1.900000E+08;1.864290E-03
1.920000E+08;1.885843E-03
1.940000E+08;1.907455E-03
1.960000E+08;1.929124E-03
1.980000E+08;1.950855E-03
2.000000E+08;1.972640E-03
2.020000E+08;1.934802E-03
2.040000E+08;1.897016E-03
2.060000E+08;1.859278E-03
2.080000E+08;1.821580E-03
2.100000E+08;1.783920E-03
2.120000E+08;1.753964E-03
2.140000E+08;1.724038E-03
2.160000E+08;1.694140E-03
2.180000E+08;1.664265E-03
2.200000E+08;1.634410E-03
2.220000E+08;1.608233E-03
2.240000E+08;1.582070E-03
2.260000E+08;1.555922E-03
2.280000E+08;1.529788E-03
2.300000E+08;1.503660E-03
2.320000E+08;1.507711E-03
2.340000E+08;1.511791E-03
2.360000E+08;1.515891E-03
2.380000E+08;1.520015E-03
2.400000E+08;1.524160E-03
2.420000E+08;1.535368E-03
2.440000E+08;1.546604E-03
2.460000E+08;1.557865E-03
2.480000E+08;1.569152E-03
2.500000E+08;1.580460E-03
2.500001E+08;5.053903E-03
3.500000E+08;3.218727E-03
5.000000E+08;1.926576E-03
6.000000E+08;1.528404E-03
7.000000E+08;1.121274E-03
8.000000E+08;1.114787E-03
1.000000E+09;1.013479E-03
1.500000E+09;9.966264E-04
2.000000E+09;7.269395E-04
3.000000E+09;5.192518E-04
